23.01.2017 14:37:25,45 - lsm, WARNING, NOT RUNNIG  
23.01.2017 14:37:30,01 - nsd, INFO, ALL IS WELL  
23.01.2017 14:38:25,34 - lsm, INFO, ALL IS WELL  
23.01.2017 14:38:27,86 - nsd, INFO, ALL IS WELL  
23.01.2017 14:56:49,72 - lsm, INFO, ALL IS WELL  
23.01.2017 14:56:52,29 - nsd, INFO, ALL IS WELL  
23.01.2017 14:56:54,63 - lsm, INFO, ALL IS WELL  
23.01.2017 14:56:56,32 - nsd, INFO, ALL IS WELL  
23.01.2017 15:00:17,37 - lsm, INFO, ALL IS WELL  
23.01.2017 15:00:19,17 - nsd, INFO, ALL IS WELL  
23.01.2017 15:00:20,94 - lsm, INFO, ALL IS WELL  
23.01.2017 15:00:22,59 - nsd, INFO, ALL IS WELL  
23.01.2017 15:02:00,62 - lsm, INFO, ALL IS WELL  
23.01.2017 15:02:02,31 - nsd, INFO, ALL IS WELL  
23.01.2017 15:02:03,91 - lsm, INFO, ALL IS WELL  
23.01.2017 15:02:05,43 - nsd, INFO, ALL IS WELL  
23.01.2017 15:10:15,06 - nsd, INFO, ALL IS WELL  
23.01.2017 15:11:20,14 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:13:18,67 - lsm, INFO, ALL IS WELL  
23.01.2017 15:13:26,07 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:13:31,66 - nsd, INFO, ALL IS WELL  
23.01.2017 15:32:43,92 - lsm, WARNING, NOT RUNNIG  
23.01.2017 15:33:16,61 - lsm, INFO, ALL IS WELL  
23.01.2017 15:33:19,69 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:33:22,08 - nsd, INFO, ALL IS WELL  
23.01.2017 15:35:48,19 - lsm, INFO, ALL IS WELL  
23.01.2017 15:35:49,86 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:35:53,47 - nsd, INFO, ALL IS WELL  
23.01.2017 15:37:24,58 - lsm, INFO, ALL IS WELL  
23.01.2017 15:42:48,06 - lsm, INFO, ALL IS WELL  
23.01.2017 15:42:49,87 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:42:51,51 - nsd, INFO, ALL IS WELL  
23.01.2017 15:48:38,68 - lsm, INFO, ALL IS WELL  
23.01.2017 15:48:41,12 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:49:16,80 - lsm, INFO, ALL IS WELL  
23.01.2017 15:49:18,58 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:49:20,07 - nsd, INFO, ALL IS WELL  
23.01.2017 15:50:58,22 - lsm, INFO, ALL IS WELL  
23.01.2017 15:50:59,88 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:51:01,29 - nsd, INFO, ALL IS WELL  
23.01.2017 15:56:00,26 - lsm, INFO, ALL IS WELL  
23.01.2017 15:56:02,32 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:56:04,09 - nsd, INFO, ALL IS WELL  
23.01.2017 15:59:10,61 - lsm, INFO, ALL IS WELL  
23.01.2017 15:59:12,25 - mtbpro, INFO, ALL IS WELL  
23.01.2017 15:59:14,04 - nsd, INFO, ALL IS WELL  
23.01.2017 16:07:01,07 - lsm, INFO, ALL IS WELL  
23.01.2017 16:07:02,95 - mtbpro, INFO, ALL IS WELL  
23.01.2017 16:07:04,47 - nsd, INFO, ALL IS WELL  
23.01.2017 16:07:15,23 - lsm, INFO, ALL IS WELL  
23.01.2017 16:07:33,71 - nsd, INFO, ALL IS WELL  
23.01.2017 16:08:30,10 - lsm, INFO, ALL IS WELL  
23.01.2017 16:08:31,95 - mtbpro, INFO, ALL IS WELL  
23.01.2017 16:08:33,49 - nsd, INFO, ALL IS WELL  
23.01.2017 16:08:45,50 - lsm, INFO, ALL IS WELL  
23.01.2017 17:03:12,66 - mtbpro, INFO, ALL IS WELL  
23.01.2017 17:14:48,03 - lsm, INFO, ALL IS WELL  
23.01.2017 17:14:50,40 - mtbpro, INFO, ALL IS WELL  
23.01.2017 17:14:52,10 - nsd, INFO, ALL IS WELL  
23.01.2017 17:17:38,08 - lsm, INFO, ALL IS WELL  
23.01.2017 17:17:39,68 - mtbpro, INFO, ALL IS WELL  
23.01.2017 17:17:41,48 - nsd, INFO, ALL IS WELL  
23.01.2017 17:24:09,32 - lsm, INFO, ALL IS WELL  
23.01.2017 17:24:10,98 - mtbpro, INFO, ALL IS WELL  
23.01.2017 17:24:12,45 - nsd, INFO, ALL IS WELL  
23.01.2017 17:24:14,12 - nsd, INFO, ALL IS WELL  
23.01.2017 17:24:41,72 - mtbpro, INFO, ALL IS WELL  
23.01.2017 17:24:43,45 - lsm, INFO, ALL IS WELL  
23.01.2017 17:24:45,14 - nsd, INFO, ALL IS WELL  
23.01.2017 17:25:05,39 - lsm, INFO, ALL IS WELL  
23.01.2017 17:25:10,38 - lsm, INFO, ALL IS WELL  
23.01.2017 17:25:14,76 - lsm, INFO, ALL IS WELL  
23.01.2017 17:25:17,52 - lsm, INFO, ALL IS WELL  
23.01.2017 17:25:20,99 - lsm, INFO, ALL IS WELL  
23.01.2017 17:25:35,09 - lsm, INFO, ALL IS WELL  
23.01.2017 17:27:03,81 - mtbpro, INFO, ALL IS WELL  
23.01.2017 17:27:05,28 - lsm, INFO, ALL IS WELL  
23.01.2017 17:27:06,51 - nsd, INFO, ALL IS WELL  
