25.01.2017 12:38:27,21 - nsd, INFO, ALL IS WELL  
25.01.2017 12:38:27,59 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:31,93 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:38:32,23 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:36,59 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:40,94 - nsd, INFO, ALL IS WELL  
25.01.2017 12:38:41,25 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:45,61 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:38:45,88 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:50,43 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:54,79 - nsd, INFO, ALL IS WELL  
25.01.2017 12:38:55,08 - lsm, INFO, ALL IS WELL  
25.01.2017 12:38:59,43 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:38:59,75 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:04,09 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:08,52 - nsd, INFO, ALL IS WELL  
25.01.2017 12:39:08,81 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:13,21 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:39:13,53 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:17,90 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:22,25 - nsd, INFO, ALL IS WELL  
25.01.2017 12:39:22,55 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:26,89 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:39:27,18 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:31,56 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:35,95 - nsd, INFO, ALL IS WELL  
25.01.2017 12:39:36,26 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:40,60 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:39:40,94 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:45,29 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:49,64 - nsd, INFO, ALL IS WELL  
25.01.2017 12:39:49,92 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:54,50 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:39:55,01 - lsm, INFO, ALL IS WELL  
25.01.2017 12:39:59,63 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:04,01 - nsd, INFO, ALL IS WELL  
25.01.2017 12:40:04,29 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:08,67 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:40:08,99 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:13,35 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:17,83 - nsd, INFO, ALL IS WELL  
25.01.2017 12:40:18,58 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:23,01 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:40:23,43 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:27,79 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:32,13 - nsd, INFO, ALL IS WELL  
25.01.2017 12:40:32,43 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:36,78 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:40:37,05 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:41,48 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:45,90 - nsd, INFO, ALL IS WELL  
25.01.2017 12:40:46,17 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:50,50 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:40:50,79 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:55,15 - lsm, INFO, ALL IS WELL  
25.01.2017 12:40:59,54 - nsd, INFO, ALL IS WELL  
25.01.2017 12:40:59,84 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:04,19 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:41:04,52 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:08,86 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:13,19 - nsd, INFO, ALL IS WELL  
25.01.2017 12:41:13,49 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:17,89 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:41:18,21 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:22,54 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:26,89 - nsd, INFO, ALL IS WELL  
25.01.2017 12:41:27,22 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:31,57 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:41:31,84 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:36,20 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:40,55 - nsd, INFO, ALL IS WELL  
25.01.2017 12:41:40,85 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:45,21 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:41:45,49 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:49,89 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:54,26 - nsd, INFO, ALL IS WELL  
25.01.2017 12:41:54,55 - lsm, INFO, ALL IS WELL  
25.01.2017 12:41:58,92 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:41:59,32 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:03,68 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:08,02 - nsd, INFO, ALL IS WELL  
25.01.2017 12:42:08,32 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:12,69 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:42:12,99 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:17,42 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:21,78 - nsd, INFO, ALL IS WELL  
25.01.2017 12:42:22,10 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:26,45 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:42:26,73 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:31,07 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:35,54 - nsd, INFO, ALL IS WELL  
25.01.2017 12:42:35,86 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:40,21 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:42:40,49 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:44,88 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:49,22 - nsd, INFO, ALL IS WELL  
25.01.2017 12:42:49,51 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:53,85 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:42:54,21 - lsm, INFO, ALL IS WELL  
25.01.2017 12:42:58,58 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:02,95 - nsd, INFO, ALL IS WELL  
25.01.2017 12:43:03,22 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:07,61 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:43:07,88 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:12,25 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:16,58 - nsd, INFO, ALL IS WELL  
25.01.2017 12:43:16,92 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:21,27 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:43:21,59 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:25,92 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:30,35 - nsd, INFO, ALL IS WELL  
25.01.2017 12:43:30,63 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:34,96 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:43:35,31 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:39,69 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:44,04 - nsd, INFO, ALL IS WELL  
25.01.2017 12:43:44,33 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:48,66 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:43:49,00 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:53,45 - lsm, INFO, ALL IS WELL  
25.01.2017 12:43:57,79 - nsd, INFO, ALL IS WELL  
25.01.2017 12:43:58,09 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:02,53 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:44:02,81 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:07,14 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:11,54 - nsd, INFO, ALL IS WELL  
25.01.2017 12:44:11,89 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:16,24 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:44:16,54 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:20,89 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:25,30 - nsd, INFO, ALL IS WELL  
25.01.2017 12:44:25,62 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:29,96 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:44:30,28 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:34,64 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:38,99 - nsd, INFO, ALL IS WELL  
25.01.2017 12:44:39,26 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:43,61 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:44:43,93 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:48,30 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:52,65 - nsd, INFO, ALL IS WELL  
25.01.2017 12:44:52,92 - lsm, INFO, ALL IS WELL  
25.01.2017 12:44:57,32 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:44:57,61 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:01,97 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:06,32 - nsd, INFO, ALL IS WELL  
25.01.2017 12:45:06,63 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:10,97 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:45:11,35 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:15,72 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:20,15 - nsd, INFO, ALL IS WELL  
25.01.2017 12:45:20,43 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:24,77 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:45:25,07 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:29,53 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:33,89 - nsd, INFO, ALL IS WELL  
25.01.2017 12:45:34,16 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:38,52 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:45:38,82 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:43,16 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:47,50 - nsd, INFO, ALL IS WELL  
25.01.2017 12:45:47,90 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:52,25 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:45:52,53 - lsm, INFO, ALL IS WELL  
25.01.2017 12:45:56,88 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:01,29 - nsd, INFO, ALL IS WELL  
25.01.2017 12:46:01,61 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:05,96 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:46:06,27 - lsm, INFO, ALL IS WELL  
