02.02.2017  0:00:11,06 - lsm, INFO, ALL IS WELL  
02.02.2017  0:00:25,59 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:00:35,91 - lsm, INFO, ALL IS WELL  
02.02.2017  0:00:50,46 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:00:51,10 - lsm, INFO, ALL IS WELL  
02.02.2017  0:01:06,18 - lsm, INFO, ALL IS WELL  
02.02.2017  0:01:21,74 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:01:22,42 - lsm, INFO, ALL IS WELL  
02.02.2017  0:01:36,93 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:01:37,32 - lsm, INFO, ALL IS WELL  
02.02.2017  0:01:52,37 - lsm, INFO, ALL IS WELL  
02.02.2017  0:02:06,64 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:02:07,05 - lsm, INFO, ALL IS WELL  
02.02.2017  0:02:21,94 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:02:22,34 - lsm, INFO, ALL IS WELL  
02.02.2017  0:02:37,14 - lsm, INFO, ALL IS WELL  
02.02.2017  0:02:51,37 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:02:51,76 - lsm, INFO, ALL IS WELL  
02.02.2017  0:03:06,19 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:03:06,87 - lsm, INFO, ALL IS WELL  
02.02.2017  0:03:21,30 - lsm, INFO, ALL IS WELL  
02.02.2017  0:03:35,55 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:03:35,91 - lsm, INFO, ALL IS WELL  
02.02.2017  0:03:50,30 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:03:50,64 - lsm, INFO, ALL IS WELL  
02.02.2017  0:04:05,65 - lsm, INFO, ALL IS WELL  
02.02.2017  0:04:20,28 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:04:20,64 - lsm, INFO, ALL IS WELL  
02.02.2017  0:04:35,35 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:04:35,69 - lsm, INFO, ALL IS WELL  
02.02.2017  0:04:50,20 - lsm, INFO, ALL IS WELL  
02.02.2017  0:05:04,47 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:05:04,80 - lsm, INFO, ALL IS WELL  
02.02.2017  0:05:19,33 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:05:19,85 - lsm, INFO, ALL IS WELL  
02.02.2017  0:05:34,33 - lsm, INFO, ALL IS WELL  
02.02.2017  0:05:48,56 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:05:48,89 - lsm, INFO, ALL IS WELL  
02.02.2017  0:06:03,28 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:06:03,63 - lsm, INFO, ALL IS WELL  
02.02.2017  0:06:18,09 - lsm, INFO, ALL IS WELL  
02.02.2017  0:06:32,36 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:06:32,69 - lsm, INFO, ALL IS WELL  
02.02.2017  0:06:47,21 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:06:47,61 - lsm, INFO, ALL IS WELL  
02.02.2017  0:07:02,07 - lsm, INFO, ALL IS WELL  
02.02.2017  0:07:16,27 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:07:16,61 - lsm, INFO, ALL IS WELL  
02.02.2017  0:07:31,02 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:07:31,38 - lsm, INFO, ALL IS WELL  
02.02.2017  0:07:45,77 - lsm, INFO, ALL IS WELL  
02.02.2017  0:08:00,02 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:08:00,47 - lsm, INFO, ALL IS WELL  
02.02.2017  0:08:14,88 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:08:15,26 - lsm, INFO, ALL IS WELL  
02.02.2017  0:08:29,63 - lsm, INFO, ALL IS WELL  
02.02.2017  0:08:43,87 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:08:44,20 - lsm, INFO, ALL IS WELL  
02.02.2017  0:08:58,64 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:08:58,97 - lsm, INFO, ALL IS WELL  
02.02.2017  0:09:13,41 - lsm, INFO, ALL IS WELL  
02.02.2017  0:09:27,68 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:09:28,02 - lsm, INFO, ALL IS WELL  
02.02.2017  0:09:42,40 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:09:42,82 - lsm, INFO, ALL IS WELL  
02.02.2017  0:09:57,30 - lsm, INFO, ALL IS WELL  
02.02.2017  0:10:11,58 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:10:11,90 - lsm, INFO, ALL IS WELL  
02.02.2017  0:10:26,27 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:10:26,60 - lsm, INFO, ALL IS WELL  
02.02.2017  0:10:41,07 - lsm, INFO, ALL IS WELL  
02.02.2017  0:10:55,33 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:10:55,66 - lsm, INFO, ALL IS WELL  
02.02.2017  0:11:10,09 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:11:10,42 - lsm, INFO, ALL IS WELL  
02.02.2017  0:11:24,91 - lsm, INFO, ALL IS WELL  
02.02.2017  0:11:39,19 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:11:39,55 - lsm, INFO, ALL IS WELL  
02.02.2017  0:11:53,97 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:11:54,32 - lsm, INFO, ALL IS WELL  
02.02.2017  0:12:08,74 - lsm, INFO, ALL IS WELL  
02.02.2017  0:12:22,97 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:12:23,31 - lsm, INFO, ALL IS WELL  
02.02.2017  0:12:37,79 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:12:38,13 - lsm, INFO, ALL IS WELL  
02.02.2017  0:12:52,52 - lsm, INFO, ALL IS WELL  
02.02.2017  0:13:06,82 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:13:07,15 - lsm, INFO, ALL IS WELL  
02.02.2017  0:13:21,56 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:13:21,89 - lsm, INFO, ALL IS WELL  
02.02.2017  0:13:36,33 - lsm, INFO, ALL IS WELL  
02.02.2017  0:13:50,60 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:13:50,92 - lsm, INFO, ALL IS WELL  
02.02.2017  0:14:05,33 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:14:05,73 - lsm, INFO, ALL IS WELL  
02.02.2017  0:14:20,19 - lsm, INFO, ALL IS WELL  
02.02.2017  0:14:34,45 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:14:34,78 - lsm, INFO, ALL IS WELL  
02.02.2017  0:14:49,18 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:14:49,51 - lsm, INFO, ALL IS WELL  
02.02.2017  0:15:03,91 - lsm, INFO, ALL IS WELL  
02.02.2017  0:15:18,14 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:15:18,49 - lsm, INFO, ALL IS WELL  
02.02.2017  0:15:32,89 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:15:33,23 - lsm, INFO, ALL IS WELL  
02.02.2017  0:15:47,69 - lsm, INFO, ALL IS WELL  
02.02.2017  0:16:02,11 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:16:02,43 - lsm, INFO, ALL IS WELL  
02.02.2017  0:16:16,84 - mtbpro, WARNING, NOT RUNNIG  
02.02.2017  0:16:17,20 - lsm, INFO, ALL IS WELL  
02.02.2017  0:16:31,64 - lsm, INFO, ALL IS WELL  
02.02.2017  0:16:45,93 - nsd, INFO, NOW IS NOT WORKING TIME  
02.02.2017  0:16:46,26 - lsm, INFO, ALL IS WELL  
